k_val,reduced_dimk,graphk
10,1496.208,30.614000000000033
30,1480.9460000000001,30.07699999999977
50,1847.4050000000002,31.27099999999973
70,2641.8720000000003,41.69100000000071
90,3865.986000000001,59.01900000000023
